TODO: sort w.r.t. cumtime instead of totttime?  not sure what the diff is atm


real  13m58.350s
user  13m57.114s
sys 0m1.192s

         259048257 function calls (259044488 primitive calls) in 838.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      243    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
    88/25    0.001    0.000    0.010    0.000 sre_parse.py:407(_parse_sub)
      482    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      340    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     1213    0.001    0.000    0.001    0.000 sre_parse.py:253(get)
      200    0.001    0.000    0.026    0.000 re.py:286(_compile)
        7    0.001    0.000    0.002    0.000 enum.py:623(<listcomp>)
      120    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      155    0.001    0.000    0.001    0.000 enum.py:351(__setattr__)
      282    0.001    0.000    0.002    0.000 function_base.py:3895(add_newdoc)
      132    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      584    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      392    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
   346/22    0.001    0.000    0.166    0.008 {built-in method builtins.__import__}
      263    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      513    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      196    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      439    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1723    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      224    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      256    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.005    0.005 core.py:21(<module>)
      764    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
       21    0.000    0.000    0.002    0.000 abc.py:132(__new__)
     1511    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      344    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      865    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      392    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      764    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
      253    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      263    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
      317    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
     1511    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      120    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      196    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
    362/6    0.000    0.000    0.216    0.036 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
     1299    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       97    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
      168    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       53    0.000    0.000    0.001    0.000 core.py:893(__init__)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      392    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.003    0.003 numerictypes.py:81(<module>)
      975    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       25    0.000    0.000    0.025    0.001 sre_compile.py:557(compile)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
      717    0.000    0.000    0.001    0.000 sre_parse.py:248(match)
      298    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      992    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.001    0.001 matlib.py:1(<module>)
     22/9    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      641    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      561    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        7    0.000    0.000    0.005    0.001 enum.py:364(_create_)
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
      253    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      525    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
    47/46    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap_external>:919(create_module)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       35    0.000    0.000    0.002    0.000 functools.py:44(update_wrapper)
       25    0.000    0.000    0.011    0.000 sre_parse.py:844(parse)
       22    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
       84    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       45    0.000    0.000    0.014    0.000 tokenize.py:492(_tokenize)
        6    0.000    0.000    0.001    0.000 getlimits.py:65(__init__)
      336    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       80    0.000    0.000    0.001    0.000 enum.py:795(__or__)
      299    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
        1    0.000    0.000    0.015    0.015 __init__.py:184(<module>)
        4    0.000    0.000    0.000    0.000 numeric.py:2916(extend_all)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        1    0.000    0.000    0.144    0.144 __init__.py:106(<module>)
       25    0.000    0.000    0.001    0.000 sre_compile.py:482(_compile_info)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
        1    0.000    0.000    0.000    0.000 case.py:341(TestCase)
        1    0.000    0.000    0.010    0.010 socket.py:47(<module>)
      100    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        1    0.000    0.000    0.018    0.018 distance.py:72(<module>)
      306    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      335    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      371    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
       51    0.000    0.000    0.000    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
      305    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      308    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       72    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
    47/40    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:927(exec_module)
       81    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      307    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      120    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
       22    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.122    0.122 add_newdocs.py:10(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lapack.py:461(<module>)
       12    0.000    0.000    0.001    0.000 _version.py:55(__init__)
        1    0.000    0.000    0.019    0.019 utils.py:4(<module>)
       23    0.000    0.000    0.000    0.000 enum.py:417(_get_mixins_)
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:299(_add_aliases)
       87    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.006    0.006 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
      101    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
        1    0.000    0.000    0.006    0.006 random.py:38(<module>)
