calculating first covariance
(85215, 3)
         259047795 function calls (259044026 primitive calls) in 617.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.004    0.000    0.004    0.000 enum.py:872(_power_of_two)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
        1    0.000    0.000    0.004    0.004 core.py:21(<module>)
      439    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
     2127    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      263    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.003    0.003 numerictypes.py:81(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:134(<module>)
      243    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
     4903    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      243    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        7    0.000    0.000    0.003    0.000 enum.py:364(_create_)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
      196    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.003    0.003 __init__.py:3(<module>)
      317    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        1    0.000    0.000    0.003    0.003 util.py:1(<module>)
      340    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      196    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
      487    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.002    0.002 misc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _plotutils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
      282    0.001    0.000    0.002    0.000 function_base.py:3895(add_newdoc)
       97    0.000    0.000    0.002    0.000 sre_compile.py:223(_compile_charset)
        8    0.001    0.000    0.002    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.002    0.002 base.py:1(<module>)
      224    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
       97    0.001    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
        1    0.000    0.000    0.002    0.002 format.py:534(write_array)
        1    0.000    0.000    0.002    0.002 basic.py:7(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
     2764    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
      487    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
      120    0.000    0.000    0.001    0.000 re.py:169(match)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
  478/159    0.001    0.000    0.001    0.000 sre_parse.py:173(getwidth)
       21    0.000    0.000    0.001    0.000 abc.py:132(__new__)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     1213    0.001    0.000    0.001    0.000 sre_parse.py:253(get)
      487    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.001    0.001    0.001    0.001 {method 'tofile' of 'numpy.ndarray' objects}
     1230    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
     4648    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
      243    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
       12    0.000    0.000    0.001    0.000 _version.py:55(__init__)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
        7    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       35    0.000    0.000    0.001    0.000 functools.py:44(update_wrapper)
        1    0.000    0.000    0.001    0.001 utils.py:6(<module>)
        1    0.000    0.000    0.001    0.001 lapack.py:461(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
     2348    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
